,f1,f2,f_screen,num_of_rows,screen_coef_mean,screen_coef_lower,screen_coef_upper,score_screen_mean,score_screen_lower,score_screen_upper,score_elim_mean,score_elim_lower,score_elim_upper
0,2.0,5.0,0.0,379.0,1.2402262470979892,1.1433559434979907,1.3370965506979877,0.21376130290121637,0.2040112437949582,0.22351136200747454,0.26416788728621093,0.255553044190577,0.27278273038184486
1,2.0,7.0,0.0,379.0,1.2509281611013807,1.105288329969269,1.3965679922334924,0.21341629745803511,0.19751997329108717,0.22931262162498306,0.26465331856094954,0.2534565645967524,0.27585007252514665
2,3.0,9.0,0.0,379.0,2.8103269975193794,2.236128633961305,3.3845253610774537,0.09494710597397572,0.07863085803102833,0.11126335391692312,0.25746365238674934,0.2487991716042025,0.2661281331692962
3,5.0,9.0,0.0,379.0,1.3246828939030477,1.2211417633770416,1.428224024429054,0.2127605225217905,0.20298146852852506,0.22253957651505596,0.2808276903765525,0.2717523708867755,0.28990300986632944
4,5.0,10.0,0.0,379.0,1.1032988336214298,1.0023512965049826,1.204246370737877,0.2128472297195526,0.2036623122973745,0.22203214714173072,0.23390690549674809,0.22255421055329883,0.24525960044019735
5,7.0,9.0,0.0,379.0,1.242490169138667,1.0939145579233651,1.3910657803539688,0.21199728199475348,0.19606445892142776,0.2279301050680792,0.2610373098360943,0.24933606012297402,0.27273855954921455
6,7.0,10.0,0.0,379.0,1.3111185500336475,1.1540012674627695,1.4682358326045255,0.21547902137299865,0.19957643847379417,0.23138160427220314,0.2800199714542542,0.2670146645976914,0.29302527831081704
7,7.0,11.0,0.0,379.0,1.2434025475699662,1.0832121264479384,1.403592968691994,0.20963098983031703,0.19385159410128303,0.22541038555935103,0.2581279987577448,0.2441672630651943,0.27208873445029524
8,2.0,5.0,6.0,379.0,1.6454537553922035,1.5013954512369017,1.7895120595475054,0.16132224424845,0.1524341391981569,0.17021034929874307,0.26416788728621093,0.255553044190577,0.27278273038184486
9,3.0,9.0,6.0,379.0,1.2368213090764826,1.1473770755142303,1.3262655426387346,0.20875072244317955,0.20065976579607753,0.21684167909028157,0.25746365238674934,0.2487991716042025,0.2661281331692962
10,5.0,8.0,6.0,379.0,1.4327521123215128,1.2832462268062876,1.582257997836738,0.15429862579904313,0.14506190134641528,0.16353535025167099,0.21969073737333544,0.20985612115990146,0.22952535358676943
11,5.0,9.0,6.0,379.0,1.5685593893808856,1.4413768468568355,1.6957419319049356,0.17974802410881124,0.17095939211732697,0.18853665610029552,0.2808276903765525,0.2717523708867755,0.28990300986632944
